payment_id,user_id,amount,currency,payment_date,method
06cda81e-9664-4b59-90e7-32bc4adf7f9e,1,0.0,USD,2026-02-11,Credit Card
58f91c24-8d2a-4eba-83ec-ce8e245a5de5,3,0.0,USD,2026-02-11,Credit Card
da42be57-2528-4e06-b80c-03871672012b,4,9.99,USD,2026-02-11,Credit Card
e52133c6-3990-465d-b0ce-3fc159847192,6,4.99,USD,2026-02-11,Credit Card
033da75f-99f9-423f-9548-1a9a81071ee1,7,0.0,USD,2026-02-11,Credit Card
cb5c6d5c-136c-4eeb-9646-2bf2e40e5676,8,0.0,USD,2026-02-11,Credit Card
fa5534ea-6f89-495e-ae8d-8dac79913157,9,4.99,USD,2026-02-11,Credit Card
70d3b626-76ca-41fd-8777-0c687afec57c,12,9.99,USD,2026-02-11,Credit Card
a4f55b39-ec8a-42f4-8504-a633586c9a0f,13,9.99,USD,2026-02-11,Credit Card
26855d03-c0c4-453e-9582-07249d6b8140,14,9.99,USD,2026-02-11,Credit Card
bacaf75a-c2d7-4746-8f09-5cad40ea2bc8,15,4.99,USD,2026-02-11,Credit Card
1b617e56-29d4-49e5-9099-b36ae077970c,17,4.99,USD,2026-02-11,Credit Card
25029d93-8fd3-4ca8-817b-4ae2c1bf562e,20,4.99,USD,2026-02-11,Credit Card
85078358-4849-4c69-b7c1-7f6a08e49a0a,21,9.99,USD,2026-02-11,Credit Card
81d6728e-01ad-4b97-9c83-4614fa448861,22,4.99,USD,2026-02-11,Credit Card
815389d4-df3e-4d50-b441-0bc29c7e713a,23,0.0,USD,2026-02-11,Credit Card
80bd863e-a500-4b06-9786-0a922659f127,25,4.99,USD,2026-02-11,Credit Card
4e4853f4-856e-424b-a44c-f2b8bc3bcc8b,29,4.99,USD,2026-02-11,Credit Card
09eaefa8-9ac2-45fc-95f2-3b4ced58ae37,30,0.0,USD,2026-02-11,Credit Card
c24d43f4-4af2-4cf7-ba6d-64eeb80eb905,31,9.99,USD,2026-02-11,Credit Card
19b23380-1229-4a13-b5d3-4a058c6761a8,32,4.99,USD,2026-02-11,Credit Card
698b5762-3488-4cd1-b5b5-aaf7e5885412,35,9.99,USD,2026-02-11,Credit Card
89176368-ba5c-4d03-acde-b0a5a1336c7b,38,0.0,USD,2026-02-11,Credit Card
76f63081-1753-42a1-bb15-c6d3a57e262c,39,4.99,USD,2026-02-11,Credit Card
5111e662-0fe9-4895-aa8c-67f917601ec5,41,9.99,USD,2026-02-11,Credit Card
db167182-ba73-4774-bd4b-8f8a9c6978ac,43,9.99,USD,2026-02-11,Credit Card
442ab400-f40f-438b-95c9-00fce83e8f90,47,4.99,USD,2026-02-11,Credit Card
3d6a0196-7a1c-4782-9e41-bbb69f3088da,48,4.99,USD,2026-02-11,Credit Card
c69b26e0-2e65-466b-a2f0-65fb741dbdd1,51,0.0,USD,2026-02-11,Credit Card
df721041-ae72-4864-93e7-faddf279cbf2,54,4.99,USD,2026-02-11,Credit Card
df2432e5-1901-45a3-8bea-d47a0bd49402,56,0.0,USD,2026-02-11,Credit Card
5952eabf-6b15-4030-8bc7-0412d377808a,57,0.0,USD,2026-02-11,Credit Card
c83a0f30-5105-4d9c-b1b4-3efa534030d5,59,0.0,USD,2026-02-11,Credit Card
5b40ace9-7dd7-419b-9974-73b98b875273,60,0.0,USD,2026-02-11,Credit Card
6d457682-33c3-4402-9ac5-f0cc1a533810,61,0.0,USD,2026-02-11,Credit Card
dba25d5c-04a8-4533-a5a4-1a19ff77390c,62,0.0,USD,2026-02-11,Credit Card
e71c2a96-85e5-49a5-be88-9deb6a9f1703,63,9.99,USD,2026-02-11,Credit Card
43185004-1fad-4ffe-8422-f8bbe849d5ea,65,9.99,USD,2026-02-11,Credit Card
0f6de3db-c415-4daf-b07b-50c3587c2aec,66,4.99,USD,2026-02-11,Credit Card
4e2a0c5b-249c-4fb3-a21c-18541dfc2555,70,0.0,USD,2026-02-11,Credit Card
dd2e3f7b-a3b9-4eec-ac14-1a576eb9144f,73,9.99,USD,2026-02-11,Credit Card
c13e8f67-ce38-4b80-8a0a-de75a359d66c,75,9.99,USD,2026-02-11,Credit Card
ab73b4c9-5f7f-4558-85d5-5bfa1602b2ee,76,0.0,USD,2026-02-11,Credit Card
0b2110b6-4071-4527-9ea8-a03ffef88126,78,0.0,USD,2026-02-11,Credit Card
66b4cbcf-c643-492e-8ae2-e3767aee103b,79,4.99,USD,2026-02-11,Credit Card
0180a899-ec42-4907-ab10-d0880e69a765,84,0.0,USD,2026-02-11,Credit Card
3fa1ab1f-cc04-4b36-aa25-1dc441b8feca,88,0.0,USD,2026-02-11,Credit Card
374a777d-9ff6-4437-8f31-1be2b779854b,89,9.99,USD,2026-02-11,Credit Card
252d348d-c0fa-4ec5-ba16-f3d7ba959a18,94,4.99,USD,2026-02-11,Credit Card
74383823-1dca-4878-88e0-56acfc6db925,95,9.99,USD,2026-02-11,Credit Card
88aece3c-b211-4968-8e24-f29cca2c3722,96,9.99,USD,2026-02-11,Credit Card
bba244d8-8601-47ab-8ed4-06f778f1f4c5,97,9.99,USD,2026-02-11,Credit Card
